scenario_id,output_path,yaml_path,metrics_csv_path,load_factor,pbo_db,requested_fraction,configured_snapshots,actual_snapshots,user_records,unique_ue_ids,nominal_tx_power_dbm,attenuation_factor,sinr_min_db,sinr_max_db,pbo_mode,candidate_count,discarded_candidate_paths
LF20_PBO20_F05,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO20dB_F05pct_2026-07-28_02,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO20dB_F05pct_2026-07-28_02\dc_mss_isolado_Sys3_340km_LF20_PBO20dB_F05pct.yaml,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO20dB_F05pct_2026-07-28_02\imt_dl_selected_ue_metrics.csv,0.2,20.0,0.05,1000,1000,275169,1567,42.8,0.8,-10.0,30.0,ACTIVE_FRACTION,2,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO20dB_F05pct_2026-07-28_01
LF20_PBO20_F10,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO20dB_F10pct_2026-07-28_02,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO20dB_F10pct_2026-07-28_02\dc_mss_isolado_Sys3_340km_LF20_PBO20dB_F10pct.yaml,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO20dB_F10pct_2026-07-28_02\imt_dl_selected_ue_metrics.csv,0.2,20.0,0.1,1000,1000,275169,1567,42.8,0.8,-10.0,30.0,ACTIVE_FRACTION,2,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO20dB_F10pct_2026-07-28_01
LF20_PBO20_F15,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO20dB_F15pct_2026-07-28_02,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO20dB_F15pct_2026-07-28_02\dc_mss_isolado_Sys3_340km_LF20_PBO20dB_F15pct.yaml,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO20dB_F15pct_2026-07-28_02\imt_dl_selected_ue_metrics.csv,0.2,20.0,0.15,1000,1000,275169,1567,42.8,0.8,-10.0,30.0,ACTIVE_FRACTION,2,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF20_PBO20dB_F15pct_2026-07-28_01
LF50_PBO00_F00,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF50_PBO0dB_F00pct_2026-07-28_02,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF50_PBO0dB_F00pct_2026-07-28_02\dc_mss_isolado_Sys3_340km_LF50_PBO0dB_F00pct.yaml,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF50_PBO0dB_F00pct_2026-07-28_02\imt_dl_selected_ue_metrics.csv,0.5,0.0,0.0,1000,1000,689089,1576,42.8,0.8,-10.0,30.0,ACTIVE_FRACTION,2,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF50_PBO0dB_F00pct_2026-07-28_01
LF50_PBO05_F05,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF50_PBO5dB_F05pct_2026-07-28_01,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF50_PBO5dB_F05pct_2026-07-28_01\dc_mss_isolado_Sys3_340km_LF50_PBO5dB_F05pct.yaml,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF50_PBO5dB_F05pct_2026-07-28_01\imt_dl_selected_ue_metrics.csv,0.5,5.0,0.05,1000,1000,689089,1576,42.8,0.8,-10.0,30.0,ACTIVE_FRACTION,1,
LF50_PBO05_F10,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF50_PBO5dB_F10pct_2026-07-28_01,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF50_PBO5dB_F10pct_2026-07-28_01\dc_mss_isolado_Sys3_340km_LF50_PBO5dB_F10pct.yaml,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF50_PBO5dB_F10pct_2026-07-28_01\imt_dl_selected_ue_metrics.csv,0.5,5.0,0.1,1000,1000,689089,1576,42.8,0.8,-10.0,30.0,ACTIVE_FRACTION,1,
LF50_PBO05_F15,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF50_PBO5dB_F15pct_2026-07-28_01,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF50_PBO5dB_F15pct_2026-07-28_01\dc_mss_isolado_Sys3_340km_LF50_PBO5dB_F15pct.yaml,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF50_PBO5dB_F15pct_2026-07-28_01\imt_dl_selected_ue_metrics.csv,0.5,5.0,0.15,1000,1000,689089,1576,42.8,0.8,-10.0,30.0,ACTIVE_FRACTION,1,
LF50_PBO10_F05,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF50_PBO10dB_F05pct_2026-07-28_02,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF50_PBO10dB_F05pct_2026-07-28_02\dc_mss_isolado_Sys3_340km_LF50_PBO10dB_F05pct.yaml,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF50_PBO10dB_F05pct_2026-07-28_02\imt_dl_selected_ue_metrics.csv,0.5,10.0,0.05,1000,1000,689089,1576,42.8,0.8,-10.0,30.0,ACTIVE_FRACTION,2,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF50_PBO10dB_F05pct_2026-07-28_01
LF50_PBO10_F10,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF50_PBO10dB_F10pct_2026-07-28_02,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF50_PBO10dB_F10pct_2026-07-28_02\dc_mss_isolado_Sys3_340km_LF50_PBO10dB_F10pct.yaml,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF50_PBO10dB_F10pct_2026-07-28_02\imt_dl_selected_ue_metrics.csv,0.5,10.0,0.1,1000,1000,689089,1576,42.8,0.8,-10.0,30.0,ACTIVE_FRACTION,2,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF50_PBO10dB_F10pct_2026-07-28_01
LF50_PBO10_F15,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF50_PBO10dB_F15pct_2026-07-28_02,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF50_PBO10dB_F15pct_2026-07-28_02\dc_mss_isolado_Sys3_340km_LF50_PBO10dB_F15pct.yaml,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF50_PBO10dB_F15pct_2026-07-28_02\imt_dl_selected_ue_metrics.csv,0.5,10.0,0.15,1000,1000,689089,1576,42.8,0.8,-10.0,30.0,ACTIVE_FRACTION,2,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF50_PBO10dB_F15pct_2026-07-28_01
LF50_PBO15_F05,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF50_PBO15dB_F05pct_2026-07-28_02,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF50_PBO15dB_F05pct_2026-07-28_02\dc_mss_isolado_Sys3_340km_LF50_PBO15dB_F05pct.yaml,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF50_PBO15dB_F05pct_2026-07-28_02\imt_dl_selected_ue_metrics.csv,0.5,15.0,0.05,1000,1000,689089,1576,42.8,0.8,-10.0,30.0,ACTIVE_FRACTION,2,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF50_PBO15dB_F05pct_2026-07-28_01
LF50_PBO15_F10,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF50_PBO15dB_F10pct_2026-07-28_02,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF50_PBO15dB_F10pct_2026-07-28_02\dc_mss_isolado_Sys3_340km_LF50_PBO15dB_F10pct.yaml,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF50_PBO15dB_F10pct_2026-07-28_02\imt_dl_selected_ue_metrics.csv,0.5,15.0,0.1,1000,1000,689089,1576,42.8,0.8,-10.0,30.0,ACTIVE_FRACTION,2,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF50_PBO15dB_F10pct_2026-07-28_01
LF50_PBO15_F15,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF50_PBO15dB_F15pct_2026-07-28_02,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF50_PBO15dB_F15pct_2026-07-28_02\dc_mss_isolado_Sys3_340km_LF50_PBO15dB_F15pct.yaml,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF50_PBO15dB_F15pct_2026-07-28_02\imt_dl_selected_ue_metrics.csv,0.5,15.0,0.15,1000,1000,689089,1576,42.8,0.8,-10.0,30.0,ACTIVE_FRACTION,2,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF50_PBO15dB_F15pct_2026-07-28_01
LF50_PBO20_F05,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF50_PBO20dB_F05pct_2026-07-28_02,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF50_PBO20dB_F05pct_2026-07-28_02\dc_mss_isolado_Sys3_340km_LF50_PBO20dB_F05pct.yaml,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF50_PBO20dB_F05pct_2026-07-28_02\imt_dl_selected_ue_metrics.csv,0.5,20.0,0.05,1000,1000,689089,1576,42.8,0.8,-10.0,30.0,ACTIVE_FRACTION,2,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF50_PBO20dB_F05pct_2026-07-28_01
LF50_PBO20_F10,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF50_PBO20dB_F10pct_2026-07-28_02,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF50_PBO20dB_F10pct_2026-07-28_02\dc_mss_isolado_Sys3_340km_LF50_PBO20dB_F10pct.yaml,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF50_PBO20dB_F10pct_2026-07-28_02\imt_dl_selected_ue_metrics.csv,0.5,20.0,0.1,1000,1000,689089,1576,42.8,0.8,-10.0,30.0,ACTIVE_FRACTION,2,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF50_PBO20dB_F10pct_2026-07-28_01
LF50_PBO20_F15,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF50_PBO20dB_F15pct_2026-07-28_02,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF50_PBO20dB_F15pct_2026-07-28_02\dc_mss_isolado_Sys3_340km_LF50_PBO20dB_F15pct.yaml,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF50_PBO20dB_F15pct_2026-07-28_02\imt_dl_selected_ue_metrics.csv,0.5,20.0,0.15,1000,1000,689089,1576,42.8,0.8,-10.0,30.0,ACTIVE_FRACTION,2,C:\GitHub\SHARC\sharc\campaigns\03_DC_MSS_ISOLADO\output\output_dc_mss_isolado_Sys3_340km_LF50_PBO20dB_F15pct_2026-07-28_01
